Transect,Plot,Species,DBH,Live/Dead,Notes,Species Code,PlotID
1,1,Betula lenta,15.5,Dead,,BELE,1_1
1,1,Betula lenta,27.5,Live,,BELE,1_1
1,1,Betula lenta,14.5,Live,,BELE,1_1
1,1,Betula lenta,13,Live,,BELE,1_1
1,1,Betula lenta,13,Live,,BELE,1_1
1,1,Liriodendron tulipifera,29,Live,,LITU,1_1
1,1,Betula lenta,24,Live,,BELE,1_1
1,1,Betula lenta,6,Live,,BELE,1_1
1,1,Betula allegheniensis,9,Live,,BEAL,1_1
1,1,Liriodendron tulipifera,45,Live,,LITU,1_1
1,1,Tsuga canadensis,15.5,Live,,TSCA,1_1
1,1,Sp. 1,15,Dead,,?,1_1
1,1,Betula lenta,29,Live,,BELE,1_1
1,1,Sp. 1,16,Live,,?,1_1
1,1,Tsuga canadensis,31.5,Live,,TSCA,1_1
1,1,Sp. 1,16,Live,,?,1_1
1,1,Tsuga canadensis,25.5,Live,,TSCA,1_1
1,1,Acer rubrum,14.5,Dead,,ACRU,1_1
1,1,Tsuga canadensis,21,Dead,,TSCA,1_1
1,1,Betula allegheniensis,16,Live,,BEAL,1_1
1,1,Betula allegheniensis,17,Live,,BEAL,1_1
1,1,Betula lenta,37,Live,,BELE,1_1
1,1,Quercus rubra,92,Live,,QURU,1_1
1,1,Tsuga canadensis,38,Live,,TSCA,1_1
1,1,Betula lenta,35,Live,,BELE,1_1
1,1,Betula lenta,7,Live,,BELE,1_1
1,1,Betula lenta,7,Live,,BELE,1_1
1,1,Betula lenta,37,Live,,BELE,1_1
1,2,Tsuga canadensis,39.5,Live,,TSCA,1_2
1,2,Tsuga canadensis,46,Live,,TSCA,1_2
1,2,Tsuga canadensis,44.5,Live,,TSCA,1_2
1,2,Tsuga canadensis,36,Live,,TSCA,1_2
1,2,Tsuga canadensis,37.5,Live,,TSCA,1_2
1,2,Tsuga canadensis,47,Live,,TSCA,1_2
1,2,Pinus strobus,21.5,Dead,,PIST,1_2
1,3,Quercus rubra,7.5,Live,,QURU,1_3
1,3,Acer rubrum,36,Dead,,ACRU,1_3
1,3,Acer rubrum,36,Live,,ACRU,1_3
1,3,Acer rubrum,26,Live,,ACRU,1_3
1,3,Quercus velutina,9,Live,,QUVE,1_3
1,3,Quercus velutina,9.5,Live,,QUVE,1_3
1,3,Sp. 2,18,Dead,Fallen sideways,?,1_3
1,3,Quercus sp.,10,Live,,QUSP,1_3
1,3,Quercus sp.,8,Live,,QUSP,1_3
1,3,Quercus sp.,9.5,Live,,QUSP,1_3
1,3,Quercus sp.,11,Live,,QUSP,1_3
1,3,Quercus sp.,11.5,Live,,QUSP,1_3
1,3,Quercus sp.,12.5,Live,,QUSP,1_3
1,3,Quercus sp.,10,Live,,QUSP,1_3
1,3,Carya glabra,88,Live,,CAGL,1_3
1,3,Quercus velutina,12,Live,,QUVE,1_3
1,3,Quercus sp.,10,Live,,QUSP,1_3
1,3,Quercus sp.,17,Live,,QUSP,1_3
1,3,Acer rubrum,27,Dead,,ACRU,1_3
1,3,Acer rubrum,31.5,Dead,,ACRU,1_3
1,3,Quercus sp.,5.5,Live,,QUSP,1_3
1,3,Acer rubrum,43.5,Live,,ACRU,1_3
1,3,Sassafras albidum,15.5,Live,,SAAL,1_3
1,3,Sassafras albidum,8,Live,,SAAL,1_3
1,3,Quercus sp.,6.5,Live,,QUSP,1_3
1,3,Acer rubrum,20.5,Dead,,ACRU,1_3
1,3,Acer rubrum,27.5,Live,,ACRU,1_3
1,3,Acer rubrum,18.5,Live,,ACRU,1_3
1,3,Acer rubrum,25.5,Live,,ACRU,1_3
1,3,Carya glabra,30,Live,,CAGL,1_3
